,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1339,2008,1,3,4,1132.0,1055,1719.0,1645,2789,227.0,230.0,208.0,34.0,37.0,SEA,MDW,1733,5.0,14.0,12.0,0.0,0.0,0.0,22.0
1342,2008,1,3,4,1034.0,1020,1246.0,1225,898,132.0,125.0,114.0,21.0,14.0,SEA,OAK,671,4.0,14.0,14.0,0.0,7.0,0.0,0.0
1343,2008,1,3,4,2241.0,2100,32.0,2305,1687,111.0,125.0,98.0,87.0,101.0,SEA,OAK,671,5.0,8.0,6.0,0.0,0.0,0.0,81.0
1345,2008,1,3,4,1912.0,1825,2113.0,2030,3589,121.0,125.0,107.0,43.0,47.0,SEA,OAK,671,3.0,11.0,11.0,0.0,0.0,0.0,32.0
1347,2008,1,3,4,1821.0,1745,2208.0,2130,408,167.0,165.0,153.0,38.0,36.0,SEA,PHX,1107,5.0,9.0,17.0,0.0,2.0,0.0,19.0
1349,2008,1,3,4,2039.0,1955,2214.0,2135,1017,95.0,100.0,78.0,39.0,44.0,SEA,RNO,564,4.0,13.0,4.0,0.0,0.0,0.0,35.0
1350,2008,1,3,4,804.0,750,1022.0,1000,98,138.0,130.0,117.0,22.0,14.0,SEA,SJC,697,5.0,16.0,9.0,0.0,8.0,0.0,5.0
1351,2008,1,3,4,1912.0,1850,2119.0,2055,390,127.0,125.0,111.0,24.0,22.0,SEA,SJC,697,3.0,13.0,8.0,0.0,2.0,0.0,14.0
1352,2008,1,3,4,1641.0,1530,1836.0,1740,722,115.0,130.0,101.0,56.0,71.0,SEA,SJC,697,4.0,10.0,11.0,0.0,0.0,0.0,45.0
1354,2008,1,3,4,1840.0,1820,2127.0,2110,1747,107.0,110.0,94.0,17.0,20.0,SEA,SLC,689,1.0,12.0,2.0,0.0,0.0,0.0,15.0
1355,2008,1,3,4,1139.0,1100,1334.0,1245,73,115.0,105.0,100.0,49.0,39.0,SEA,SMF,605,5.0,10.0,37.0,0.0,10.0,0.0,2.0
1356,2008,1,3,4,1605.0,1500,1754.0,1645,151,109.0,105.0,86.0,69.0,65.0,SEA,SMF,605,5.0,18.0,16.0,0.0,4.0,0.0,49.0
1357,2008,1,3,4,1757.0,1710,1951.0,1855,1395,114.0,105.0,86.0,56.0,47.0,SEA,SMF,605,5.0,23.0,23.0,0.0,9.0,0.0,24.0
1358,2008,1,3,4,1955.0,1925,2137.0,2110,2467,102.0,105.0,84.0,27.0,30.0,SEA,SMF,605,6.0,12.0,17.0,0.0,0.0,0.0,10.0
3114,2008,1,4,5,1427.0,1405,1808.0,1750,972,161.0,165.0,146.0,18.0,22.0,SEA,ABQ,1180,5.0,10.0,11.0,0.0,0.0,0.0,7.0
3115,2008,1,4,5,2021.0,1950,2234.0,2205,336,73.0,75.0,61.0,29.0,31.0,SEA,BOI,399,2.0,10.0,16.0,0.0,0.0,0.0,13.0
3116,2008,1,4,5,1954.0,1925,2325.0,2300,1158,151.0,155.0,135.0,25.0,29.0,SEA,DEN,1024,6.0,10.0,0.0,0.0,0.0,0.0,25.0
3117,2008,1,4,5,1511.0,1425,1841.0,1800,1568,150.0,155.0,126.0,41.0,46.0,SEA,DEN,1024,7.0,17.0,34.0,0.0,0.0,0.0,7.0
3118,2008,1,4,5,1414.0,1215,1508.0,1310,337,54.0,55.0,37.0,118.0,119.0,SEA,GEG,224,4.0,13.0,2.0,0.0,0.0,0.0,116.0
3119,2008,1,4,5,2119.0,2010,2216.0,2105,775,57.0,55.0,37.0,71.0,69.0,SEA,GEG,224,5.0,15.0,0.0,0.0,2.0,0.0,69.0
3120,2008,1,4,5,1712.0,1640,1802.0,1735,1682,50.0,55.0,37.0,27.0,32.0,SEA,GEG,224,3.0,10.0,0.0,0.0,0.0,0.0,27.0
3122,2008,1,4,5,1455.0,1445,1731.0,1710,559,156.0,145.0,135.0,21.0,10.0,SEA,LAS,866,8.0,13.0,9.0,0.0,11.0,0.0,1.0
3123,2008,1,4,5,1857.0,1840,2127.0,2105,2211,150.0,145.0,130.0,22.0,17.0,SEA,LAS,866,4.0,16.0,4.0,0.0,5.0,0.0,13.0
3126,2008,1,4,5,1457.0,1345,2045.0,1935,1189,228.0,230.0,207.0,70.0,72.0,SEA,MDW,1733,4.0,17.0,47.0,0.0,0.0,0.0,23.0
3127,2008,1,4,5,1808.0,1730,2021.0,1935,252,133.0,125.0,110.0,46.0,38.0,SEA,OAK,671,9.0,14.0,0.0,0.0,8.0,0.0,38.0
3128,2008,1,4,5,1217.0,1210,1430.0,1415,481,133.0,125.0,111.0,15.0,7.0,SEA,OAK,671,7.0,15.0,7.0,0.0,8.0,0.0,0.0
3129,2008,1,4,5,1028.0,1020,1243.0,1225,898,135.0,125.0,114.0,18.0,8.0,SEA,OAK,671,5.0,16.0,8.0,0.0,10.0,0.0,0.0
3130,2008,1,4,5,2142.0,2100,2345.0,2305,1687,123.0,125.0,106.0,40.0,42.0,SEA,OAK,671,7.0,10.0,9.0,0.0,0.0,0.0,31.0
3132,2008,1,4,5,1908.0,1825,2120.0,2030,3589,132.0,125.0,109.0,50.0,43.0,SEA,OAK,671,7.0,16.0,12.0,0.0,7.0,0.0,31.0
3133,2008,1,4,5,1802.0,1745,2155.0,2130,408,173.0,165.0,156.0,25.0,17.0,SEA,PHX,1107,6.0,11.0,6.0,0.0,8.0,0.0,11.0
3135,2008,1,4,5,2027.0,1955,2203.0,2135,1017,96.0,100.0,80.0,28.0,32.0,SEA,RNO,564,6.0,10.0,0.0,25.0,0.0,0.0,3.0
3137,2008,1,4,5,1836.0,1820,2132.0,2110,1747,116.0,110.0,98.0,22.0,16.0,SEA,SLC,689,3.0,15.0,10.0,0.0,6.0,0.0,6.0
3138,2008,1,4,5,1132.0,1100,1350.0,1245,73,138.0,105.0,103.0,65.0,32.0,SEA,SMF,605,24.0,11.0,0.0,0.0,65.0,0.0,0.0
4676,2008,1,5,6,1505.0,1405,1858.0,1750,972,173.0,165.0,148.0,68.0,60.0,SEA,ABQ,1180,6.0,19.0,24.0,0.0,8.0,0.0,36.0
4677,2008,1,5,6,1530.0,1255,1740.0,1510,835,70.0,75.0,56.0,150.0,155.0,SEA,BOI,399,3.0,11.0,9.0,0.0,0.0,0.0,141.0
4678,2008,1,5,6,2108.0,1925,32.0,2300,1158,144.0,155.0,129.0,92.0,103.0,SEA,DEN,1024,6.0,9.0,2.0,0.0,0.0,0.0,90.0
4679,2008,1,5,6,2205.0,2010,2257.0,2105,775,52.0,55.0,38.0,112.0,115.0,SEA,GEG,224,4.0,10.0,6.0,0.0,0.0,0.0,106.0
4680,2008,1,5,6,1729.0,1640,1826.0,1735,1682,57.0,55.0,36.0,51.0,49.0,SEA,GEG,224,5.0,16.0,14.0,0.0,2.0,0.0,35.0
4682,2008,1,5,6,1351.0,1300,1905.0,1825,730,194.0,205.0,176.0,40.0,51.0,SEA,MCI,1489,3.0,15.0,4.0,0.0,0.0,0.0,36.0
4684,2008,1,5,6,1230.0,1210,1439.0,1415,481,129.0,125.0,109.0,24.0,20.0,SEA,OAK,671,8.0,12.0,14.0,0.0,4.0,0.0,6.0
4685,2008,1,5,6,2203.0,2100,15.0,2305,1687,132.0,125.0,105.0,70.0,63.0,SEA,OAK,671,8.0,19.0,7.0,0.0,7.0,0.0,56.0
4686,2008,1,5,6,1646.0,1540,1838.0,1745,3402,112.0,125.0,99.0,53.0,66.0,SEA,OAK,671,3.0,10.0,9.0,0.0,0.0,0.0,44.0
4687,2008,1,5,6,2104.0,1825,2301.0,2030,3589,117.0,125.0,98.0,151.0,159.0,SEA,OAK,671,7.0,12.0,14.0,0.0,0.0,0.0,137.0
4688,2008,1,5,6,1526.0,1455,1918.0,1840,978,172.0,165.0,156.0,38.0,31.0,SEA,PHX,1107,5.0,11.0,7.0,0.0,7.0,0.0,24.0
4690,2008,1,5,6,1959.0,1840,2151.0,2045,598,112.0,125.0,98.0,66.0,79.0,SEA,SJC,697,3.0,11.0,0.0,66.0,0.0,0.0,0.0
4691,2008,1,5,6,1642.0,1530,1835.0,1740,722,113.0,130.0,99.0,55.0,72.0,SEA,SJC,697,3.0,11.0,6.0,0.0,0.0,0.0,49.0
4692,2008,1,5,6,922.0,810,1215.0,1105,70,113.0,115.0,99.0,70.0,72.0,SEA,SLC,689,4.0,10.0,0.0,70.0,0.0,0.0,0.0
4693,2008,1,5,6,1844.0,1820,2129.0,2110,1747,105.0,110.0,89.0,19.0,24.0,SEA,SLC,689,4.0,12.0,16.0,0.0,0.0,0.0,3.0
4694,2008,1,5,6,1132.0,1100,1313.0,1245,73,101.0,105.0,88.0,28.0,32.0,SEA,SMF,605,5.0,8.0,9.0,0.0,0.0,0.0,19.0
4695,2008,1,5,6,1628.0,1500,1808.0,1645,151,100.0,105.0,84.0,83.0,88.0,SEA,SMF,605,4.0,12.0,13.0,0.0,0.0,0.0,70.0
6465,2008,1,6,7,1443.0,1405,1817.0,1750,972,154.0,165.0,141.0,27.0,38.0,SEA,ABQ,1180,3.0,10.0,3.0,0.0,0.0,0.0,24.0
6467,2008,1,6,7,2040.0,1950,2300.0,2205,336,80.0,75.0,56.0,55.0,50.0,SEA,BOI,399,13.0,11.0,9.0,0.0,5.0,0.0,41.0
6468,2008,1,6,7,1959.0,1925,2329.0,2300,1158,150.0,155.0,130.0,29.0,34.0,SEA,DEN,1024,7.0,13.0,0.0,0.0,0.0,0.0,29.0
6469,2008,1,6,7,1452.0,1425,1827.0,1800,1568,155.0,155.0,134.0,27.0,27.0,SEA,DEN,1024,4.0,17.0,26.0,0.0,0.0,0.0,1.0
6470,2008,1,6,7,2113.0,2010,2202.0,2105,775,49.0,55.0,35.0,57.0,63.0,SEA,GEG,224,2.0,12.0,0.0,0.0,0.0,4.0,53.0
6471,2008,1,6,7,1732.0,1640,1820.0,1735,1682,48.0,55.0,35.0,45.0,52.0,SEA,GEG,224,3.0,10.0,7.0,0.0,0.0,0.0,38.0
6472,2008,1,6,7,1535.0,1445,1814.0,1710,559,159.0,145.0,122.0,64.0,50.0,SEA,LAS,866,6.0,31.0,9.0,0.0,14.0,0.0,41.0
6474,2008,1,6,7,1425.0,1300,1947.0,1825,730,202.0,205.0,183.0,82.0,85.0,SEA,MCI,1489,6.0,13.0,20.0,0.0,0.0,0.0,62.0
6475,2008,1,6,7,1815.0,1730,2028.0,1935,252,133.0,125.0,91.0,53.0,45.0,SEA,OAK,671,31.0,11.0,7.0,0.0,8.0,0.0,38.0
6478,2008,1,6,7,2155.0,2100,1.0,2305,1687,126.0,125.0,86.0,56.0,55.0,SEA,OAK,671,29.0,11.0,0.0,0.0,6.0,0.0,50.0
6480,2008,1,6,7,1850.0,1825,2054.0,2030,3589,124.0,125.0,91.0,24.0,25.0,SEA,OAK,671,24.0,9.0,14.0,0.0,0.0,0.0,10.0
6482,2008,1,6,7,1802.0,1745,2145.0,2130,408,163.0,165.0,144.0,15.0,17.0,SEA,PHX,1107,3.0,16.0,0.0,0.0,11.0,0.0,4.0
6484,2008,1,6,7,2128.0,1955,2253.0,2135,1017,85.0,100.0,70.0,78.0,93.0,SEA,RNO,564,4.0,11.0,49.0,0.0,0.0,0.0,29.0
6486,2008,1,6,7,1922.0,1850,2120.0,2055,390,118.0,125.0,99.0,25.0,32.0,SEA,SJC,697,11.0,8.0,9.0,0.0,0.0,0.0,16.0
6487,2008,1,6,7,1640.0,1530,1831.0,1740,722,111.0,130.0,95.0,51.0,70.0,SEA,SJC,697,4.0,12.0,12.0,0.0,0.0,0.0,39.0
6488,2008,1,6,7,1424.0,1400,1738.0,1655,1214,134.0,115.0,87.0,43.0,24.0,SEA,SLC,689,36.0,11.0,24.0,0.0,19.0,0.0,0.0
6489,2008,1,6,7,1850.0,1820,2137.0,2110,1747,107.0,110.0,93.0,27.0,30.0,SEA,SLC,689,3.0,11.0,14.0,0.0,0.0,0.0,13.0
6490,2008,1,6,7,1127.0,1100,1304.0,1245,73,97.0,105.0,82.0,19.0,27.0,SEA,SMF,605,4.0,11.0,0.0,0.0,6.0,0.0,13.0
6491,2008,1,6,7,1745.0,1500,1918.0,1645,151,93.0,105.0,78.0,153.0,165.0,SEA,SMF,605,6.0,9.0,5.0,0.0,0.0,0.0,148.0
7580,2008,1,7,1,2000.0,1925,2322.0,2300,1158,142.0,155.0,121.0,22.0,35.0,SEA,DEN,1024,6.0,15.0,0.0,0.0,0.0,0.0,22.0
7581,2008,1,7,1,1532.0,1425,1858.0,1800,1568,146.0,155.0,129.0,58.0,67.0,SEA,DEN,1024,6.0,11.0,0.0,0.0,0.0,0.0,58.0
7582,2008,1,7,1,1231.0,1215,1331.0,1310,337,60.0,55.0,37.0,21.0,16.0,SEA,GEG,224,4.0,19.0,1.0,0.0,5.0,0.0,15.0
7587,2008,1,7,1,1050.0,1020,1243.0,1225,898,113.0,125.0,95.0,18.0,30.0,SEA,OAK,671,4.0,14.0,7.0,0.0,0.0,0.0,11.0
7593,2008,1,7,1,1917.0,1850,2112.0,2055,390,115.0,125.0,102.0,17.0,27.0,SEA,SJC,697,3.0,10.0,0.0,0.0,0.0,0.0,17.0
7594,2008,1,7,1,1441.0,1400,1724.0,1655,1214,103.0,115.0,86.0,29.0,41.0,SEA,SLC,689,4.0,13.0,0.0,0.0,0.0,0.0,29.0
7595,2008,1,7,1,1848.0,1820,2138.0,2110,1747,110.0,110.0,88.0,28.0,28.0,SEA,SLC,689,4.0,18.0,0.0,0.0,0.0,0.0,28.0
7596,2008,1,7,1,1304.0,1100,1452.0,1245,73,108.0,105.0,76.0,127.0,124.0,SEA,SMF,605,4.0,28.0,2.0,0.0,3.0,0.0,122.0
8499,2008,1,8,2,747.0,710,1105.0,1045,515,138.0,155.0,120.0,20.0,37.0,SEA,DEN,1024,7.0,11.0,0.0,20.0,0.0,0.0,0.0
8501,2008,1,8,2,1657.0,1640,1802.0,1735,1682,65.0,55.0,41.0,27.0,17.0,SEA,GEG,224,5.0,19.0,0.0,0.0,10.0,0.0,17.0
8502,2008,1,8,2,1520.0,1445,1733.0,1710,559,133.0,145.0,115.0,23.0,35.0,SEA,LAS,866,9.0,9.0,0.0,0.0,0.0,3.0,20.0
8505,2008,1,8,2,1418.0,1345,2000.0,1935,1189,222.0,230.0,205.0,25.0,33.0,SEA,MDW,1733,5.0,12.0,25.0,0.0,0.0,0.0,0.0
8507,2008,1,8,2,2132.0,2100,2320.0,2305,1687,108.0,125.0,91.0,15.0,32.0,SEA,OAK,671,5.0,12.0,0.0,0.0,0.0,0.0,15.0
8514,2008,1,8,2,1121.0,1100,1305.0,1245,73,104.0,105.0,86.0,20.0,21.0,SEA,SMF,605,4.0,14.0,2.0,0.0,0.0,0.0,18.0
8515,2008,1,8,2,721.0,700,907.0,845,474,106.0,105.0,80.0,22.0,21.0,SEA,SMF,605,4.0,22.0,0.0,21.0,1.0,0.0,0.0
8516,2008,1,8,2,1751.0,1710,1923.0,1855,1395,92.0,105.0,77.0,28.0,41.0,SEA,SMF,605,5.0,10.0,28.0,0.0,0.0,0.0,0.0
9184,2008,1,9,3,1833.0,1745,2208.0,2130,408,155.0,165.0,124.0,38.0,48.0,SEA,PHX,1107,7.0,24.0,0.0,0.0,0.0,0.0,38.0
9188,2008,1,9,3,1128.0,1100,1300.0,1245,73,92.0,105.0,75.0,15.0,28.0,SEA,SMF,605,4.0,13.0,3.0,0.0,0.0,0.0,12.0
9989,2008,1,10,4,2032.0,1950,2239.0,2205,336,67.0,75.0,53.0,34.0,42.0,SEA,BOI,399,3.0,11.0,5.0,0.0,0.0,0.0,29.0
9992,2008,1,10,4,2030.0,2010,2123.0,2105,775,53.0,55.0,39.0,18.0,20.0,SEA,GEG,224,4.0,10.0,0.0,0.0,0.0,0.0,18.0
9998,2008,1,10,4,1910.0,1850,2110.0,2055,390,120.0,125.0,104.0,15.0,20.0,SEA,SJC,697,3.0,13.0,0.0,0.0,0.0,0.0,15.0
9999,2008,1,10,4,1140.0,1100,1316.0,1245,73,96.0,105.0,83.0,31.0,40.0,SEA,SMF,605,4.0,9.0,8.0,0.0,0.0,0.0,23.0
10830,2008,1,11,5,1725.0,1640,1822.0,1735,1682,57.0,55.0,36.0,47.0,45.0,SEA,GEG,224,5.0,16.0,45.0,0.0,2.0,0.0,0.0
10832,2008,1,11,5,2140.0,2100,2341.0,2305,1687,121.0,125.0,101.0,36.0,40.0,SEA,OAK,671,6.0,14.0,1.0,0.0,0.0,0.0,35.0
10833,2008,1,11,5,1903.0,1825,2101.0,2030,3589,118.0,125.0,96.0,31.0,38.0,SEA,OAK,671,5.0,17.0,0.0,0.0,0.0,0.0,31.0
10836,2008,1,11,5,1918.0,1850,2116.0,2055,390,118.0,125.0,101.0,21.0,28.0,SEA,SJC,697,3.0,14.0,0.0,0.0,0.0,0.0,21.0
10837,2008,1,11,5,1853.0,1820,2135.0,2110,1747,102.0,110.0,82.0,25.0,33.0,SEA,SLC,689,3.0,17.0,0.0,0.0,0.0,0.0,25.0
11211,2008,1,12,6,1129.0,1100,1305.0,1245,73,96.0,105.0,80.0,20.0,29.0,SEA,SMF,605,5.0,11.0,1.0,0.0,0.0,0.0,19.0
12143,2008,1,13,7,1242.0,1210,1452.0,1425,3514,70.0,75.0,54.0,27.0,32.0,SEA,BOI,399,3.0,13.0,0.0,0.0,0.0,0.0,27.0
12145,2008,1,13,7,2030.0,1945,2356.0,2325,2441,146.0,160.0,121.0,31.0,45.0,SEA,DEN,1024,7.0,18.0,0.0,0.0,0.0,0.0,31.0
12147,2008,1,13,7,1829.0,1800,20.0,2350,1613,231.0,230.0,207.0,30.0,29.0,SEA,MDW,1733,6.0,18.0,29.0,0.0,1.0,0.0,0.0
12154,2008,1,13,7,1304.0,1250,1604.0,1545,3953,120.0,115.0,100.0,19.0,14.0,SEA,SLC,689,5.0,15.0,0.0,0.0,5.0,0.0,14.0
12155,2008,1,13,7,2138.0,2110,2319.0,2255,124,101.0,105.0,82.0,24.0,28.0,SEA,SMF,605,5.0,14.0,3.0,0.0,0.0,0.0,21.0
12156,2008,1,13,7,1834.0,1740,2008.0,1925,2380,94.0,105.0,79.0,43.0,54.0,SEA,SMF,605,3.0,12.0,0.0,0.0,3.0,0.0,40.0
12678,2008,1,14,1,727.0,650,1056.0,1035,1295,149.0,165.0,136.0,21.0,37.0,SEA,ABQ,1180,4.0,9.0,21.0,0.0,0.0,0.0,0.0
12679,2008,1,14,1,2058.0,2010,2307.0,2225,2118,69.0,75.0,53.0,42.0,48.0,SEA,BOI,399,3.0,13.0,41.0,0.0,0.0,0.0,1.0
12682,2008,1,14,1,1956.0,1935,2201.0,2140,3246,125.0,125.0,99.0,21.0,21.0,SEA,SJC,697,3.0,23.0,17.0,0.0,0.0,0.0,4.0
12683,2008,1,14,1,2149.0,2110,2323.0,2255,124,94.0,105.0,79.0,28.0,39.0,SEA,SMF,605,5.0,10.0,28.0,0.0,0.0,0.0,0.0
13194,2008,1,15,2,1243.0,1210,1458.0,1425,3514,75.0,75.0,51.0,33.0,33.0,SEA,BOI,399,2.0,22.0,0.0,0.0,0.0,0.0,33.0
13196,2008,1,15,2,1343.0,1130,1437.0,1225,495,54.0,55.0,43.0,132.0,133.0,SEA,GEG,224,3.0,8.0,3.0,0.0,0.0,0.0,129.0
13201,2008,1,15,2,1655.0,1620,1844.0,1825,1273,109.0,125.0,91.0,19.0,35.0,SEA,OAK,671,9.0,9.0,0.0,0.0,0.0,0.0,19.0
13205,2008,1,15,2,1602.0,1510,1732.0,1655,717,90.0,105.0,76.0,37.0,52.0,SEA,SMF,605,4.0,10.0,0.0,0.0,0.0,0.0,37.0
13768,2008,1,16,3,1503.0,1445,1726.0,1710,3751,143.0,145.0,118.0,16.0,18.0,SEA,LAS,866,7.0,18.0,0.0,0.0,6.0,0.0,10.0
13770,2008,1,16,3,1331.0,1320,1939.0,1910,3224,248.0,230.0,222.0,29.0,11.0,SEA,MDW,1733,5.0,21.0,11.0,0.0,18.0,0.0,0.0
15148,2008,1,17,4,2038.0,2010,2245.0,2225,2118,67.0,75.0,54.0,20.0,28.0,SEA,BOI,399,2.0,11.0,0.0,0.0,0.0,0.0,20.0
15155,2008,1,17,4,1903.0,1810,2052.0,2015,641,109.0,125.0,89.0,37.0,53.0,SEA,OAK,671,5.0,15.0,11.0,0.0,0.0,0.0,26.0
15158,2008,1,17,4,2042.0,1925,2242.0,2130,2786,120.0,125.0,103.0,72.0,77.0,SEA,OAK,671,5.0,12.0,67.0,0.0,0.0,0.0,5.0
15160,2008,1,17,4,1738.0,1715,2115.0,2100,1497,157.0,165.0,137.0,15.0,23.0,SEA,PHX,1107,6.0,14.0,11.0,0.0,0.0,0.0,4.0
16720,2008,1,18,5,1334.0,1150,1947.0,1800,2437,253.0,250.0,224.0,107.0,104.0,SEA,BNA,1977,8.0,21.0,1.0,0.0,3.0,0.0,103.0
16721,2008,1,18,5,2040.0,2010,2247.0,2225,2118,67.0,75.0,52.0,22.0,30.0,SEA,BOI,399,3.0,12.0,1.0,0.0,0.0,0.0,21.0
16722,2008,1,18,5,1234.0,1210,1450.0,1425,3514,76.0,75.0,55.0,25.0,24.0,SEA,BOI,399,3.0,18.0,24.0,0.0,1.0,0.0,0.0
16726,2008,1,18,5,1855.0,1825,2114.0,2050,2530,139.0,145.0,119.0,24.0,30.0,SEA,LAS,866,4.0,16.0,12.0,0.0,0.0,0.0,12.0
16730,2008,1,18,5,1333.0,1320,1535.0,1520,809,122.0,120.0,93.0,15.0,13.0,SEA,OAK,671,6.0,23.0,13.0,0.0,2.0,0.0,0.0
16736,2008,1,18,5,1926.0,1910,2222.0,2200,3494,116.0,110.0,91.0,22.0,16.0,SEA,SLC,689,5.0,20.0,10.0,0.0,6.0,0.0,6.0
17519,2008,1,19,6,1138.0,1055,1329.0,1300,3425,111.0,125.0,95.0,29.0,43.0,SEA,OAK,671,8.0,8.0,29.0,0.0,0.0,0.0,0.0
18033,2008,1,20,7,727.0,650,1059.0,1035,1295,152.0,165.0,139.0,24.0,37.0,SEA,ABQ,1180,3.0,10.0,24.0,0.0,0.0,0.0,0.0
18034,2008,1,20,7,2331.0,1945,253.0,2325,2441,142.0,160.0,128.0,208.0,226.0,SEA,DEN,1024,6.0,8.0,0.0,0.0,0.0,0.0,208.0
19426,2008,1,21,1,1638.0,1525,2015.0,1905,1326,157.0,160.0,136.0,70.0,73.0,SEA,DEN,1024,11.0,10.0,2.0,0.0,0.0,0.0,68.0
19427,2008,1,21,1,2135.0,1945,58.0,2325,2441,143.0,160.0,124.0,93.0,110.0,SEA,DEN,1024,11.0,8.0,88.0,0.0,0.0,0.0,5.0
19428,2008,1,21,1,2111.0,2040,2203.0,2135,1522,52.0,55.0,39.0,28.0,31.0,SEA,GEG,224,5.0,8.0,6.0,0.0,0.0,0.0,22.0
19429,2008,1,21,1,1723.0,1555,1820.0,1650,1536,57.0,55.0,42.0,90.0,88.0,SEA,GEG,224,5.0,10.0,9.0,0.0,2.0,0.0,79.0
19431,2008,1,21,1,1246.0,1215,1818.0,1740,3061,212.0,205.0,190.0,38.0,31.0,SEA,MCI,1489,7.0,15.0,7.0,0.0,7.0,0.0,24.0
19433,2008,1,21,1,1906.0,1810,2106.0,2015,641,120.0,125.0,91.0,51.0,56.0,SEA,OAK,671,15.0,14.0,51.0,0.0,0.0,0.0,0.0
19434,2008,1,21,1,1414.0,1320,1559.0,1520,809,105.0,120.0,94.0,39.0,54.0,SEA,OAK,671,4.0,7.0,1.0,0.0,0.0,0.0,38.0
19436,2008,1,21,1,2200.0,1925,4.0,2130,2786,124.0,125.0,93.0,154.0,155.0,SEA,OAK,671,20.0,11.0,70.0,0.0,0.0,0.0,84.0
19439,2008,1,21,1,1750.0,1715,2136.0,2100,1497,166.0,165.0,150.0,36.0,35.0,SEA,PHX,1107,7.0,9.0,8.0,0.0,1.0,0.0,27.0
19443,2008,1,21,1,951.0,830,1315.0,1125,1949,144.0,115.0,106.0,110.0,81.0,SEA,SLC,689,31.0,7.0,0.0,0.0,29.0,0.0,81.0
19444,2008,1,21,1,1951.0,1910,2252.0,2200,3494,121.0,110.0,110.0,52.0,41.0,SEA,SLC,689,3.0,8.0,8.0,0.0,11.0,0.0,33.0
19445,2008,1,21,1,2244.0,2110,23.0,2255,124,99.0,105.0,83.0,88.0,94.0,SEA,SMF,605,6.0,10.0,7.0,0.0,0.0,0.0,81.0
19446,2008,1,21,1,1637.0,1510,1812.0,1655,717,95.0,105.0,81.0,77.0,87.0,SEA,SMF,605,5.0,9.0,0.0,0.0,0.0,0.0,77.0
19447,2008,1,21,1,1158.0,1110,1337.0,1255,1689,99.0,105.0,82.0,42.0,48.0,SEA,SMF,605,4.0,13.0,0.0,0.0,0.0,0.0,42.0
20615,2008,1,22,2,1517.0,1450,1850.0,1835,2038,153.0,165.0,140.0,15.0,27.0,SEA,ABQ,1180,4.0,9.0,0.0,0.0,0.0,0.0,15.0
20618,2008,1,22,2,940.0,905,1029.0,1000,459,49.0,55.0,37.0,29.0,35.0,SEA,GEG,224,4.0,8.0,0.0,0.0,0.0,0.0,29.0
20621,2008,1,22,2,1337.0,1320,1930.0,1910,3224,233.0,230.0,217.0,20.0,17.0,SEA,MDW,1733,6.0,10.0,1.0,0.0,3.0,0.0,16.0
20625,2008,1,22,2,1548.0,1510,1726.0,1655,717,98.0,105.0,81.0,31.0,38.0,SEA,SMF,605,4.0,13.0,0.0,0.0,0.0,0.0,31.0
